,Unnamed: 0.1,Unnamed: 0,Time,Description
0,0,0,12-12-2023 11:15,Fully Bearish. Initiate the position
1,1,1,12-12-2023 11:20,Bearish
2,2,2,12-12-2023 11:25,Bearish
3,3,3,12-12-2023 11:30,Bearish
4,4,4,12-12-2023 11:35,Bearish
5,5,5,12-12-2023 11:40,Bearish
6,6,6,12-12-2023 11:45,Bearish
7,7,7,12-12-2023 11:50,Bearish
8,8,8,12-12-2023 11:55,Bearish
9,9,9,12-12-2023 12:00,Bearish
10,10,10,12-12-2023 12:05,Bearish
11,11,11,12-12-2023 12:10,Bearish
12,12,12,12-12-2023 12:15,Fully Bearish. Initiate the position
13,13,13,12-12-2023 12:20,Bearish
14,14,14,12-12-2023 12:25,Bearish
15,15,15,12-12-2023 12:30,Bearish
16,16,16,12-12-2023 12:35,Bearish
17,17,17,12-12-2023 12:40,Fully Bearish. Initiate the position
18,18,18,12-12-2023 12:45,Bearish
19,19,19,12-12-2023 12:50,Bearish
20,20,20,12-12-2023 12:55,Bearish
21,21,21,12-12-2023 13:00,Bearish
22,22,22,12-12-2023 13:05,Bearish
23,23,23,12-12-2023 13:10,Bearish
24,24,24,12-12-2023 13:15,Bearish
25,25,25,12-12-2023 13:20,Bearish
26,26,26,12-12-2023 13:25,Bearish
27,27,27,12-12-2023 13:30,Bearish
28,28,28,12-12-2023 13:35,Bearish
29,29,29,12-12-2023 13:40,Bearish
30,30,30,12-12-2023 13:45,Fully Bearish. Initiate the position
31,31,31,12-12-2023 13:50,Bearish
32,32,32,12-12-2023 13:55,Fully Bearish. Initiate the position
33,33,33,12-12-2023 14:00,Bearish
34,34,34,12-12-2023 14:05,Bearish
35,35,35,12-12-2023 14:10,Bearish
36,36,36,12-12-2023 14:15,Bearish
37,37,37,12-12-2023 14:20,Bearish
38,38,38,12-12-2023 14:25,Bearish
39,39,39,12-12-2023 14:30,Bearish
40,40,40,12-12-2023 14:35,Fully Bearish. Initiate the position
41,41,41,12-12-2023 14:40,Bearish
42,42,42,12-12-2023 14:45,Bearish
43,43,43,12-12-2023 14:50,Bullish consolidation. Initiate the position
44,44,44,12-12-2023 14:55,Bullish consolidation
45,45,45,12-12-2023 15:00,Fully Bearish. Initiate the position
46,46,46,12-12-2023 15:05,Bearish
47,47,47,12-12-2023 15:10,Bearish
48,48,48,12-12-2023 15:15,Bearish
49,49,49,12-12-2023 15:20,Bearish
50,50,50,12-12-2023 15:25,Bearish
51,51,51,13-12-2023 09:15,Fully Bearish. Initiate the position
52,52,52,13-12-2023 09:20,Bearish
53,53,53,13-12-2023 09:25,Bearish
54,54,54,13-12-2023 09:30,Bearish
55,55,55,13-12-2023 09:35,Bearish
56,56,56,13-12-2023 09:40,Bearish
57,57,57,13-12-2023 09:45,Bearish
58,58,58,13-12-2023 09:50,Bearish
59,59,59,13-12-2023 09:55,Bearish
60,60,60,13-12-2023 10:00,Bullish consolidation. Initiate the position
61,61,61,13-12-2023 10:05,Bullish consolidation
62,62,62,13-12-2023 10:10,Bullish consolidation
63,63,63,13-12-2023 10:15,Bullish consolidation
64,64,64,13-12-2023 10:20,Bullish consolidation
65,65,65,13-12-2023 10:25,Bullish consolidation
66,66,66,13-12-2023 10:30,Bullish consolidation
67,67,67,13-12-2023 10:35,Bullish consolidation
68,68,68,13-12-2023 10:40,Fully Bullish. Initiate the position
69,69,69,13-12-2023 10:45,Bullish
70,70,70,13-12-2023 10:50,Bullish
71,71,71,13-12-2023 10:55,Bullish
72,72,72,13-12-2023 11:00,Bullish
73,73,73,13-12-2023 11:05,Bearish consolidation. Initiate the position
74,74,74,13-12-2023 11:10,Bearish consolidation
75,75,75,13-12-2023 11:15,Bearish consolidation
