,0
0,12-12-2023 11:15:00
1,12-12-2023 11:20:00
2,12-12-2023 11:25:00
3,12-12-2023 11:30:00
4,12-12-2023 11:35:00
5,12-12-2023 11:40:00
6,12-12-2023 11:45:00
7,12-12-2023 11:50:00
8,12-12-2023 11:55:00
9,12-12-2023 12:00:00
10,12-12-2023 12:05:00
11,12-12-2023 12:10:00
12,12-12-2023 12:15:00
13,12-12-2023 12:20:00
14,12-12-2023 12:25:00
15,12-12-2023 12:30:00
16,12-12-2023 12:35:00
17,12-12-2023 12:40:00
18,12-12-2023 12:45:00
19,12-12-2023 12:50:00
20,12-12-2023 12:55:00
21,12-12-2023 13:00:00
22,12-12-2023 13:05:00
23,12-12-2023 13:10:00
24,12-12-2023 13:15:00
25,12-12-2023 13:20:00
26,12-12-2023 13:25:00
27,12-12-2023 13:30:00
28,12-12-2023 13:35:00
29,12-12-2023 13:40:00
30,12-12-2023 13:45:00
31,12-12-2023 13:50:00
32,12-12-2023 13:55:00
33,12-12-2023 14:00:00
34,12-12-2023 14:05:00
35,12-12-2023 14:10:00
36,12-12-2023 14:15:00
37,12-12-2023 14:20:00
38,12-12-2023 14:25:00
39,12-12-2023 14:30:00
40,12-12-2023 14:35:00
41,12-12-2023 14:40:00
42,12-12-2023 14:45:00
43,12-12-2023 14:50:00
44,12-12-2023 14:55:00
45,12-12-2023 15:00:00
46,12-12-2023 15:05:00
47,12-12-2023 15:10:00
48,12-12-2023 15:15:00
49,12-12-2023 15:20:00
50,12-12-2023 15:25:00
51,13-12-2023 09:15:00
52,13-12-2023 09:20:00
53,13-12-2023 09:25:00
54,13-12-2023 09:30:00
55,13-12-2023 09:35:00
56,13-12-2023 09:40:00
57,13-12-2023 09:45:00
58,13-12-2023 09:50:00
59,13-12-2023 09:55:00
60,13-12-2023 10:00:00
61,13-12-2023 10:05:00
62,13-12-2023 10:10:00
63,13-12-2023 10:15:00
64,13-12-2023 10:20:00
65,13-12-2023 10:25:00
66,13-12-2023 10:30:00
67,13-12-2023 10:35:00
68,13-12-2023 10:40:00
69,13-12-2023 10:45:00
70,13-12-2023 10:50:00
71,13-12-2023 10:55:00
72,13-12-2023 11:00:00
73,13-12-2023 11:05:00
74,13-12-2023 11:10:00
75,13-12-2023 11:15:00
76,13-12-2023 11:20:00
77,13-12-2023 11:25:00
78,13-12-2023 11:30:00
79,13-12-2023 11:35:00
80,13-12-2023 11:40:00
81,13-12-2023 11:45:00
82,13-12-2023 11:50:00
83,13-12-2023 11:55:00
84,13-12-2023 12:00:00
85,13-12-2023 12:05:00
86,13-12-2023 12:10:00
87,13-12-2023 12:15:00
88,13-12-2023 12:20:00
89,13-12-2023 12:25:00
90,13-12-2023 12:30:00
91,13-12-2023 12:35:00
92,13-12-2023 12:40:00
93,13-12-2023 12:45:00
94,13-12-2023 12:50:00
95,13-12-2023 12:55:00
96,13-12-2023 13:00:00
97,13-12-2023 13:05:00
98,13-12-2023 13:10:00
99,13-12-2023 13:15:00
100,13-12-2023 13:20:00
101,13-12-2023 13:25:00
102,13-12-2023 13:30:00
103,13-12-2023 13:35:00
104,13-12-2023 13:40:00
105,13-12-2023 13:45:00
106,13-12-2023 13:50:00
107,13-12-2023 13:55:00
108,13-12-2023 14:00:00
109,13-12-2023 14:05:00
110,13-12-2023 14:10:00
111,13-12-2023 14:15:00
112,13-12-2023 14:20:00
113,13-12-2023 14:25:00
114,13-12-2023 14:30:00
115,13-12-2023 14:35:00
116,13-12-2023 14:40:00
117,13-12-2023 14:45:00
118,13-12-2023 14:50:00
119,13-12-2023 14:55:00
120,13-12-2023 15:00:00
121,13-12-2023 15:05:00
122,13-12-2023 15:10:00
123,13-12-2023 15:15:00
124,13-12-2023 15:20:00
125,13-12-2023 15:25:00
126,14-12-2023 09:15:00
127,14-12-2023 09:20:00
128,14-12-2023 09:25:00
129,14-12-2023 09:30:00
130,14-12-2023 09:35:00
131,14-12-2023 09:40:00
132,14-12-2023 09:45:00
133,14-12-2023 09:50:00
134,14-12-2023 09:55:00
135,14-12-2023 10:00:00
136,14-12-2023 10:05:00
137,14-12-2023 10:10:00
138,14-12-2023 10:15:00
139,14-12-2023 10:20:00
140,14-12-2023 10:25:00
141,14-12-2023 10:30:00
142,14-12-2023 10:35:00
143,14-12-2023 10:40:00
144,14-12-2023 10:45:00
145,14-12-2023 10:50:00
146,14-12-2023 10:55:00
147,14-12-2023 11:00:00
148,14-12-2023 11:05:00
149,14-12-2023 11:10:00
150,14-12-2023 11:15:00
151,14-12-2023 11:20:00
152,14-12-2023 11:25:00
153,14-12-2023 11:30:00
154,14-12-2023 11:35:00
155,14-12-2023 11:40:00
156,14-12-2023 11:45:00
157,14-12-2023 11:50:00
158,14-12-2023 11:55:00
159,14-12-2023 12:00:00
160,14-12-2023 12:05:00
161,14-12-2023 12:10:00
162,14-12-2023 12:15:00
163,14-12-2023 12:20:00
164,14-12-2023 12:25:00
165,14-12-2023 12:30:00
166,14-12-2023 12:35:00
167,14-12-2023 12:40:00
168,14-12-2023 12:45:00
169,14-12-2023 12:50:00
170,14-12-2023 12:55:00
171,14-12-2023 13:00:00
172,14-12-2023 13:05:00
173,14-12-2023 13:10:00
174,14-12-2023 13:15:00
175,14-12-2023 13:20:00
176,14-12-2023 13:25:00
177,14-12-2023 13:30:00
178,14-12-2023 13:35:00
179,14-12-2023 13:40:00
180,14-12-2023 13:45:00
181,14-12-2023 13:50:00
182,14-12-2023 13:55:00
183,14-12-2023 14:00:00
184,14-12-2023 14:05:00
185,14-12-2023 14:10:00
186,14-12-2023 14:15:00
187,14-12-2023 14:20:00
188,14-12-2023 14:25:00
189,14-12-2023 14:30:00
190,14-12-2023 14:35:00
191,14-12-2023 14:40:00
192,14-12-2023 14:45:00
193,14-12-2023 14:50:00
194,14-12-2023 14:55:00
195,14-12-2023 15:00:00
196,14-12-2023 15:05:00
197,14-12-2023 15:10:00
198,14-12-2023 15:15:00
199,14-12-2023 15:20:00
200,14-12-2023 15:25:00
201,15-12-2023 09:15:00
202,15-12-2023 09:20:00
203,15-12-2023 09:25:00
204,15-12-2023 09:30:00
205,15-12-2023 09:35:00
206,15-12-2023 09:40:00
207,15-12-2023 09:45:00
208,15-12-2023 09:50:00
209,15-12-2023 09:55:00
210,15-12-2023 10:00:00
211,15-12-2023 10:05:00
212,15-12-2023 10:10:00
213,15-12-2023 10:15:00
214,15-12-2023 10:20:00
215,15-12-2023 10:25:00
216,15-12-2023 10:30:00
217,15-12-2023 10:35:00
218,15-12-2023 10:40:00
219,15-12-2023 10:45:00
220,15-12-2023 10:50:00
221,15-12-2023 10:55:00
222,15-12-2023 11:00:00
223,15-12-2023 11:05:00
224,15-12-2023 11:10:00
225,15-12-2023 11:15:00
226,15-12-2023 11:20:00
227,15-12-2023 11:25:00
228,15-12-2023 11:30:00
229,15-12-2023 11:35:00
230,15-12-2023 11:40:00
231,15-12-2023 11:45:00
232,15-12-2023 11:50:00
233,15-12-2023 11:55:00
234,15-12-2023 12:00:00
235,15-12-2023 12:05:00
236,15-12-2023 12:10:00
237,15-12-2023 12:15:00
238,15-12-2023 12:20:00
239,15-12-2023 12:25:00
